Какого созвездия не существует? | Змея | Муха | Ящерица | Бабочка
Какой гриб называют "волчий табак"? | Сморчок | Трюфель | Мухомор | Дождевик
Кто из этих философов древности оставил в своих трудах описание Атлантиды? | Геродот | Аристотель | Сократ | Платон
Какую фамилию носит одна из самых прославленных династий канатоходцев? | Кудрявцевы | Папазовы | Кострюковы | Волжанские
Под каким псевдонимом всем известна Норма Бейкер? | Мадонна | Жаклин Кеннеди | Барбара Стрейзанд | Мерлин Монро
Сколько насчитывается щупалец у гигантского кальмара? | Шесть | Восемь | Двенадцать | Десять
Как называется судоходство между портами одной страны? | Абордаж | Саботаж | Такелаж | Каботаж
В какой области Уинстон Черчилль получил Нобелевскую премию? | Экономика | Литература | Физика | Укрепление мира
Из какого языка пришло в русский язык слово "караван"? | Татарский | Итальянский | Персидский | Это русское слово
Под каким именем Эрих Вейсс достиг всемирной славы? | Гарри Гуддини | Макс Линдер | Фред | Тони Вейсмюллер
Назовите имя замечательного русского поэта Майкова. | Иван | Аполлон | Алексей | Федор
Что в известной сказке пустил царевич, желая найти хорошую невесту? | Пулю | Слезу | Корни | Стрелу
С кем, по мнению императора Карла V, надлежит разговаривать на испанском языке? | С врагами | С женщинами | С друзьями | С богом
Как заканчивается русская поговорка: "Спасибо ..."? | В холодильник не поставишь | На сковородку не бросишь | На троих не разделишь | В карман не положишь
Кто из этих русских руководителей похоронен не на Кремлёвском кладбище? | Хрущев | Брежнев | Андропов | Черненко
Как называлась книга, выпущенная до первого января 1501 года? | Фобиант | Полимпсес | Реликт | Пинкунабула
Что привёз на Дикий Запад главный герой фильма "Человек с бульвара Капуцинов"? | Театр теней | Балет на льду | Синематограф | Огненную воду
Кто впервые поздравил граждан нашей страны с Новым годом, находясь у стен Кремля? | Леонид Брежнев | Михаил Горбачев | Борис Ельцин | Владимир Путин
Каким из этих предметов мог свободно владеть Балбес, когда дело доходило до ограбления? | Гитарой | Машиной | Перчатками для бокса | Фомкой
В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки? | Монреаль Канадиенс | Нью-Йорк Рейнджерс | Филодельфия Флаерс | Уолл-стрит Вест 
Какого созвездия не существует? | Змея | Бабочка | Ящерица | Муха
Какая из этих птиц не входит в семейство соколиных? | Кречет | Сокол-Сапсан | Коршун | Балобан
Какого родственника не может быть у мужчины? | Шурин | Зять | Свояк | Деверь
Какой знаменитый мореплаватель основал город Петропавловск-Камчатский? | Крузенштерн | Беллинсгаузен | Баренц | Беринг
Где размещался штаб Наполеона в сентябре 1812 года? | В Архангельском соборе | В Потешном дворце | В Комендантской башне | В Петровском дворце
